START,END,SPEAKER,TEXT
00:04:32:64,00:05:01:27,Michiel Cock,"Van de klapschaats snappen de meeste mensen nog dat die ergens in een frame valt. Wij hebben een handgeschreven bijbel. Daar kun je iets van zeggen, zoals: waarom is dat bijzonder? Omdat tegen die tijd al lang de boekdrukkunst was uitgevonden en toch iemand de moeite genomen heeft om dat helemaal te gaan overschrijven. Dat soort context en verhalen erbij heb je vaak nodig. Het is niet meteen vanzelfsprekend."
00:05:01:27,00:05:47:35,August den Hollander,"Ik denk dat jij een goed woord gebruikt, namelijk context. Het is altijd contextueel wat je ziet als erfgoed. Het vertelt een verhaal over jezelf of is gerelateerd aan je eigen verhaal of narratief. Ik denk dat het erfgoed wat we hier in huis hebben het verhaal van deze instelling vertelt. Of van de onderzoekers en mensen die hier hebben gewerkt en de maatschappelijke impact die deze instelling heeft gehad en nog steeds heeft. Dat wat hier erfgoed is, zou misschien op een andere plek, bij een andere instelling, niet opgenomen worden in een erfgoedcollectie. Erfgoed is contextueel."
00:05:47:50,00:05:50:00,David Oldenhof-Boks,Wie bepaalt wat erfgoed is?
00:05:50:00,00:06:01:64,Michiel Cock,"Dat mogen we lekker helemaal zelf bepalen. Het gaat om de betekenis die wij eraan geven, hoe wij het gebruiken en de dingen die wij willen doorgeven."
00:06:01:83,00:06:06:85,David Oldenhof-Boks,"Wij is de universiteitsbibliotheek, de universiteit, groepen binnen de universiteit?"
00:06:08:85,00:06:09:00,Michiel Cock,"Ja, allemaal."
00:06:09:00,00:06:13:79,August den Hollander,"Gebruikers, medewerkers, studenten."
00:06:15:29,00:06:18:19,Maurice Vanderfeesten,Hoe wordt dat hier binnen de universiteit gebruikt?
00:06:20:13,00:07:15:04,Michiel Cock,"Op allerlei manieren. Het wordt voor onderwijs gebruikt. Met regelmaat zijn hier docenten die bijvoorbeeld met oude drukken op tafel hun studenten colleges geven. Het wordt ook breder gebruikt. Dus object-based teaching en learning is een activiteit waar we mee bezig zijn, juist om die collecties op een veel bredere manier in onderwijs te gebruiken. Dat is een actieve en experimentele manier van leren, die studenten goed leert kijken, discussiëren en de nieuwsgierigheid prikkelt. Dat betekent dat je het op veel meer plekken kan inzetten. Dat soort workshops worden ook gegeven. Nu vooral nog aan docenten, om hen te prikkelen om dit in te gaan zetten in hun onderwijs. Dat is een manier. Er wordt veel onderzoek gedaan naar onze collecties."
00:07:15:04,00:07:35:38,Michiel Cock,Het wordt veel gebruikt in wie wij zijn als universiteit. In het Kuyperjaar waren er filmpjes bij de dies van het scheepje dat Abraham Kuyper gemaakt had. Op veel manieren. Bij het Déjà VU festival is er een onderdeel waar de bijzondere collecties zijn. Op die manier zijn we op veel plekken aanwezig.
00:07:36:25,00:08:54:32,August den Hollander,"Dat laatste heeft te maken met wat ik eerder zei over dat narratief. Je zet het in om iets over je eigen identiteit en geschiedenis te vertellen, of te laten zien. Dat is een rol die erfgoed steeds meer is gaan innemen de laatste vijftien jaar. Er is meer aandacht gekomen voor erfgoed in die zin. Dat is grappig, want als je kijkt naar de archieven, bibliotheek, de boeken, die zijn in steeds toenemende mate gedigitaliseerd en onderdeel van de collectie Nederland. Je kan veel dingen overal vinden. Het is in die zin veel groter en breder geworden. Tegelijkertijd is daarmee aan de andere kant het belang van het fysieke object niet afgenomen. Sterker nog, dat is alleen maar toegenomen. Op twee manieren. De ene is door de digitalisering. Oorspronkelijk, toen de digitalisering begon, dacht iedereen: we digitaliseren het."
00:08:54:32,00:09:42:21,August den Hollander,"Daarna zetten we het in een kluis of depot en hoeven we het er niet meer uit te halen, want het is digitaal beschikbaar. Dat was aanvankelijk het enthousiasme van veel bibliotheken en bibliothecarissen om mee te gaan. Dat pakte totaal anders uit, want doordat meer mensen via de digitale weg kennis kregen van de objecten, werd de belangstelling voor de fysieke objecten groter. Het aantal bezoekers en gebruikers die echt met fysieke objecten wilden gaan werken steeg alleen maar. Ik denk dat de andere kant is, dat juist in een digitale wereld het belang van het fysieke object alleen maar is toegenomen. Je hebt het over dat object learning."
00:09:42:79,00:10:24:41,August den Hollander,"Ik merk in mijn eigen onderwijs dat het fysieke contact met een object, de interactie daarmee, het ruiken en aanraken is voor de huidige generatie studenten een verademing in een veelal digitale wereld. Ik denk dat het belang van het fysieke object door de digitalisering alleen maar groter is geworden en meer - zoals bij het genoemde object learning - daarvoor ingezet kan worden."
00:10:28:63,00:10:51:27,Michiel Cock,"Die collecties zijn vaak een startpunt voor reflectie. In een vooral digitale wereld een keer met een analoog object te werken, moet mensen aan het denken zetten. Wat is nu het verschil tussen die twee? Wanneer werkt het één goed en wanneer het ander? Die reflectie vind ik belangrijk en ik vind het mooi als erfgoed daar een rol bij kan spelen."
00:10:52:71,00:11:14:98,Maurice Vanderfeesten,Ik zit naar de vragen te kijken en volgens mij hebben we alle eerste vragen al gehad. Hebben jullie een voorbeeld daarvan? Welke rol speelt erfgoed binnen de universiteit? Dat hebben we afgetikt. Welke rol heeft de bibliotheek? Hebben we ook afgetikt. Wat zijn de digitale ontwikkelingen? Dat hebben we nu gezien.
00:11:15:96,00:12:30:09,August den Hollander,"Er zijn er meer te noemen. Nog even over dat belang van die identiteit. Dat belang is ook zinvol voor mensen die hier werken in een instelling. Je ziet het belang van verhalen, van verhalen vertellen en het verhaal van je eigen werkomgeving, of dat nu een commercieel bedrijf is, een non-profitorganisatie of een ander type organisatie. Het vertellen van het verhaal van je eigen organisatie is alleen maar belangrijker geworden. Daar kan erfgoed een enorm belangrijke rol in spelen, zoals de voorbeelden die jij gaf met oude filmfragmenten, maar ook anderszins. Dus voor medewerkers die hier werken is erfgoed belangrijk om zich op een bepaalde manier te kunnen verhouden tot de identiteit van en zich misschien zelfs te laten inspireren door het verhaal van de eigen instelling."
00:12:31:00,00:12:32:28,David Oldenhof-Boks,"Waarom is dat belangrijker geworden, denk je?"
00:12:34:07,00:13:51:45,August den Hollander,"Dat is een moeilijke vraag om te beantwoorden. Waarom is dat belangrijker geworden? Ik was recent op een boekpresentatie van een verhalenverteller. Die heeft een boek geschreven over belang van het verhaal en zijn laatste opdrachtgever was Univé. Dat is een verzekeraar. Jij en ik kennen Univé als naam en weten dat ze verzekeringen verkopen. Als je het verhaal kent achter Univé - hoe het is begonnen en waarom - is dat niet alleen voor het publiek, maar ook voor de eigen medewerkers opeens een belangrijke bron van inspiratie. Dat was het idealisme dat erachter zat en is het idealisme dat we nog steeds vandaag de dag willen uitdragen. De VU heeft ook een grondslag. Die grondslag hing een tijd als een molensteen om onze nek, omdat het niet meer paste bij wie we waren, ook als instelling."
00:13:51:45,00:14:34:69,August den Hollander,"Die is aangepast, gemoderniseerd. Nu zie je dat zo een grondslag weer ingezet wordt om de VU weer te kunnen positioneren in de samenleving, op een manier waardoor je als medewerker hier denkt: we leveren hier een belangrijke maatschappelijke bijdrage. Het is fijn dat ik daaraan kan bijdragen. Het is voortdurend de kunst om die idealen en drijfveren vanuit het verleden te vertalen naar het heden. Je hebt dat erfgoed nodig om terug te gaan naar dat verleden. Om te snappen waar het in essentie om ging. Daar moet je goed naar kijken. Dat doe je."
00:14:35:86,00:15:25:20,Michiel Cock,"Dat is breder dan puur de geschiedenis van onze eigen instelling, want de collecties die wij hier hebben, zijn uit de brede protestantse wereld. Daar zie je bijvoorbeeld de archieven van zendelingen. Het is nu interessant om te zien welk beeld daaruit naar voren komt van mensen die uit Nederland weggingen om in wat nu Indonesië is, het geloof te verkondigen. Welk specifiek beeld komt daaruit naar voren? Welke stemmen zitten daar vervolgens niet in? Dus het gaat verder dan alleen de geschiedenis van onze eigen instelling."
00:15:26:63,00:16:21:38,August den Hollander,"Wij hadden het over dat die collectievorming of erfgoedvorming doorgaat. Dat is iets waar we bij stil zouden moeten staan, denk ik. Als UB, maar ook als VU. Wat betekent dat? Wat voor soort erfgoed? Hoe gaan we verder? De VU is een veel inclusievere en diversere universiteit geworden. Heel breed. Wat betekent dat voor de collecties, bijvoorbeeld? Wat betekent dat voor de bijzondere collecties? In zekere zin ben je als collectiebeheerder - om een titel van een werk van wetenschappers te gebruiken - dirigent van de herinnering. De reflectie daarop en op het erfgoed van de toekomst is ontzettend belangrijk."
00:16:23:86,00:16:58:91,Michiel Cock,"Iedereen moet mee kunnen doen aan het bepalen, bewaren en het doorgeven van erfgoed en daar horen al onze gebruikers bij. Dan kom je zelfs op een metapunt waar je mensen - studenten en medewerkers - bewust kan maken van wat erfgoed is. Dat het niet zomaar is: ik heb nog een oude kast en die moet ik per se bewaren, maar dat het gaat over dat je iets wilt doorgeven aan de toekomst. Die reflectie op wat belangrijk is en wat je wilt doorgeven zou bijna een metadoel van erfgoed en bijzondere collecties kunnen zijn."
00:16:59:70,00:17:23:23,Maurice Vanderfeesten,"Ik pak even jouw vraag. Is er nog een aspect wat onderbelicht blijft? Bijvoorbeeld dat stukje bewustwording van: ik ben met een bepaald onderzoek bezig en heb hier een instrument gemaakt, en na de afloop van het project gaat het de prullenbak in. Of: moet het ergens anders naartoe?"
00:17:23:23,00:18:39:83,Michiel Cock,"Soms is het onderbelicht, maar het is interessant dat nu met de sloop van het W&M-gebouw er best veel naar boven komt waarvan mensen zeggen dat ze dat toch graag zouden willen bewaren. Soms denken mensen van dingen dat het weg kan, terwijl dat voor de geschiedenis van de VU wel interessant is. Dus dat is: erfgoed kan veranderen en het gaat om wat je door wil geven. Ik vind de emotionele kant van erfgoed ook interessant. Dat zit hem in die historische sensatie van: ik heb hier iets op tafel, een object in plaats van een digitaal object. Ik ga vanmiddag naar een bijeenkomst die 'Why digital heritage does not make us cry yet' heet. Misschien komen we op een punt waar digitaal erfgoed ons ook emotioneel zo kan raken. Waarom zijn we daar nog niet? Dat vind ik een interessant aspect ervan, dat nu nog onderbelicht is, maar wat misschien in de toekomst een rol gaat spelen."
00:18:40:11,00:19:49:14,August den Hollander,"Interessant, die interactie met moderne technologie en welke rol erfgoed daarin speelt. Dus niet alleen via machine learning of hoe je gedigitaliseerde objecten met nieuwe technologieën te lijf gaat, waar natuurlijk veel gaande is, maar ook: hoe verhoudt zich bij wijze van spreken... Ik zal een voorbeeld geven. Ik heb een collega, Willem van Peursen. Die werkt met allerlei vormen van analyse van teksten. Syntactische en literaire analyses, maar ook allerlei andere grote data-analyses. Daar zijn meer mensen mee bezig. Eén van de dingen waar hij nu mee bezig is, dat is dat hij machines bijbelillustraties laat maken. Die worden vergeleken met fysieke illustraties uit het verleden en uit onze collectie."
00:19:49:14,00:20:45:93,August den Hollander,"Dan kun je zien hoe die digitale ontwerpen en vormgeving, interpretaties van teksten in beeld zich tot hoe dat in het verleden is gegaan, in onze etsen en gravures uit de zestiende, zeventiende en achttiende eeuw. Is dat misschien ons erfgoed van de toekomst, bijvoorbeeld? Zijn dat soort onderzoeksresultaten en de analyse daarvan de dingen waarin we... Je hebt het over die emotie. Daar is - zeker in dat beeld - emotie aan gelinkt. Dat zou zomaar een onderdeel kunnen zijn van ons nieuwe erfgoed."
00:20:45:93,00:21:05:06,Maurice Vanderfeesten,Precies. We zijn nu een beetje naar de toekomst aan het kijken. Kun je een beeld gaan schetsen van wat het effect zou zijn als in 2030 alle studenten - in welke studierichting dan ook - uitgebreid gebruik gaan maken van erfgoed?
00:21:08:27,00:22:07:51,August den Hollander,"Grappig. Ik doe in mijn eigen onderwijs vrijwel uitsluitend aan object learning. In principe zijn mijn colleges zo: ik probeer altijd een dag voor mijn colleges te reserveren, in plaats van steeds een aantal uur. 's Ochtends doe ik literatuur. Dan laat ik ze dingen lezen. 's Middags gaan we ons bezighouden met een object, een beheerder of een erfgoedbeheerder. Ze moeten op een gegeven moment ook zelf iets produceren over objecten. Ze moeten zich daarin verdiepen en het contextualiseren. Waar ik ze vijf jaar tentamineerde over een boek en artikelen, moeten ze nu geproduceerde kennis aan mij presenteren rondom objecten."
00:22:07:51,00:22:09:18,Maurice Vanderfeesten,Wat is het effect?
00:22:09:18,00:23:00:13,August den Hollander,"De leeropbrengst is tien keer zo groot, want als ik ze een jaar later spreek, komen ze daar nog steeds op terug. Dat kan zijn omdat het nu nog de uitzondering is binnen een groter geheel. Als iedereen het zou doen, zou het misschien veranderen. Ik denk dat de leeropbrengst groot is, omdat het een andere manier van toe-eigening is in het leren, dat object learning, en dat als je dat doet, jij je op een andere manier verhoudt tot een fysiek object dan tot een tekst. Dat kan een gebouw zijn, een middeleeuws handschrift, een kleitablet of de klapschaats zijn. Ik denk dat het effect veel blije studenten zal zijn."
00:23:05:38,00:24:10:50,Maurice Vanderfeesten,"Ik kan een ander voorbeeld noemen. Een vriend van mij heeft de telescoop van Galileo nagebouwd met het gouden blad, leren bekleding en de lenspositie, maar ook de onzuiverheden van de lenzen. Als je erdoorheen kijkt, zie je dat de maan er heel geblurd uitziet. Blijkbaar heeft Galileo zijn lenzenafstand aangepast aan de bijziendheid van zijn eigen oog. Dan ga je echt terug in de tijd. Hoe heeft iemand dat beleefd? Hoe kan iemand Jupiter bekijken of het oog van Jupiter zien in zo een onzuiver ding? Wat moet je allemaal wegfilteren om dat te kunnen zien? Hij heeft Wetenschapsfilosofie gestudeerd. Daardoor krijg je een andere beleving van het wetenschapsproces en van waar we nu staan. Het materiaal waar je nu mee werkt, komt ergens vandaan. Uit een met de voeten in de modder werkend proces."
00:24:12:00,00:24:21:22,August den Hollander,Ook haast een beetje het ambachtelijke. Die telescopen zijn heel ambachtelijk werk.
00:24:22:67,00:24:56:38,Michiel Cock,"Het maakt je erg bewust van je eigen positie en het zou mooi zijn als studenten daardoor beter in staat zijn om te reflecteren of afstand te nemen en zich bewust te zijn van hun eigen positie. Dat hoeft niet alleen met erfgoed, maar kan juist ook met kunst, want ook dat hoort bij onze bijzondere collecties. Het goed, nauwkeurig kijken naar kunst, het observeren daarvan en het daar vervolgens met elkaar over hebben, geeft je een nieuw inzicht in je eigen positie."
00:24:58:14,00:25:17:65,David Oldenhof-Boks,"Ik wilde even een zijpaadje inslaan naar digitale innovaties en vroeg me af welke ontwikkelingen jullie nu landelijk zien of waar bijvoorbeeld wordt samengewerkt op het digitale vlak, en hoe dat speelveld eruitziet. Kan je daar wat over vertellen, Michiel?"
00:25:18:89,00:26:34:31,Michiel Cock,"Daar gebeurt heel veel. We hebben een Netwerk Digitaal Erfgoed in Nederland. Hun belangrijkste bijdrage is al de drieslag houdbaar, bruikbaar, zichtbaar, omdat je daar voor het digitale erfgoed, maar ook voor analoog erfgoed zoveel mee kan. Zij ontwikkelen ongelooflijk veel. Zij, dat zijn wij. Het Netwerk is iedere erfgoedinstelling die daarmee werkt. Wat ze bijvoorbeeld hebben is een spoorboekje digitalisering van erfgoedcollecties. Dat is een prachtig handvat om aan de hand daarvan bij je eigen instelling te kijken naar wat er moet gebeuren. Wij gebruiken dat zelf ook. We zijn net het project Living collections begonnen. Daarin gaan we dat spoorboekje af. Dat kan zo basaal zijn als helemaal aan de basis: kies een systeem waarin jij je collectie wil registreren, tot uiteindelijk: ontwikkel er online onderwijs mee, en alles wat ertussen zit. Daar zitten veel goede tussenstappen in die je een duidelijk handvat geven. Ze organiseren ongelooflijk veel, dus daar wordt veel in samengewerkt. Anders zouden we nooit zover komen in Nederland."
00:26:34:31,00:26:40:82,David Oldenhof-Boks,Wat heeft dat spoorboekje ons tot nu toe geleerd over onze eigen collectie en onze omgang daarmee?
00:26:41:88,00:27:30:06,Michiel Cock,"Dat het erg verschilt per collectie. We doen het op sommige punten best goed en moeten op sommige punten echt nog stappen zetten. Afgelopen jaar hebben we onze collecties kunst en academisch erfgoed aan onze beeldbanken toegevoegd, dus die zijn nu beschikbaar binnen de muren van de VU. Dat is er al één. Een punt als een goed collectie registratiesysteem voor archieven hebben we bijvoorbeeld nog niet. Dat wisten we al. Daar hadden we dat spoorboekje niet per se voor nodig, maar het heeft ons ervan bewust gemaakt dat we geen duidelijk beleid op het geheel hebben. We hebben een vaag beeld en een idee, maar het kan allemaal nog specifieker."
00:27:32:90,00:27:51:63,David Oldenhof-Boks,"Als we het eindstation hebben gehaald, om maar in die metaforen van het spoorboekje te blijven spreken, wat kunnen we dan in 2030, als we alles houdbaar, bruikbaar en zichtbaar hebben gemaakt? Wat kunnen we dan voor extra verlening bieden aan gebruikers?"
00:27:53:43,00:28:33:86,Michiel Cock,"Het belangrijkste is dat we onze collecties in een veel bredere context kunnen presenteren en laten gebruiken. De kracht zit hem erin dat het niet alleen de objecten zelf zijn, maar het is ook de informatie daarover. Je moet nu maar net weten dat iets bij een bepaalde instelling is, maar als wij het op zo een manier ontsluiten - met linked open data - dat het makkelijker bij elkaar komt of dat onderzoekers of gebruikers van buiten makkelijker zelf een combinatie kunnen maken van verschillende instellingen, dan komt al die informatie... De kracht zit in de combinatie."
00:28:34:39,00:28:35:29,David Oldenhof-Boks,En August?
00:28:36:20,00:28:36:38,August den Hollander,Ik wilde nog iets zeggen.
00:28:36:38,00:28:45:41,David Oldenhof-Boks,"Jij bent onder andere gebruiker van de bibliotheekcollecties. Hoe zou jij dat toepassen in jouw werk, als al die mogelijkheden er zijn?"
00:28:49:07,00:29:31:56,August den Hollander,"Het zou mooi zijn als niet alleen de bronnen makkelijker zijn, zoals de collectie Nederland of collectie wereldwijd, maar ook de output. Dus dat zowel de bronnen alsook de output op basis van die bron of gerelateerd aan die bronnen, veel meer aan elkaar gelinkt zouden zijn. Veel outputkennis zit opgesloten in systemen, in zoeksystemen of bij uitgevers."
00:29:31:56,00:29:32:68,David Oldenhof-Boks,Wat betekent output hier?
00:29:32:68,00:30:19:43,August den Hollander,"Artikelen, boeken, studies, wetenschappelijke output. Dus voor kennis die gegenereerd is op basis van of met gebruikmaking van die bronnen, daarvoor is er idealiter één grote omgeving waarin je dat allemaal vindt. Als je zegt: ik lees nu een tekst van mevrouw of meneer huppeldepup uit die eeuw, welke bronnen zijn er? Wat is erover geschreven? Dat je dat op een goed wetenschappelijk niveau krijgt, zou natuurlijk fantastisch zijn. Dat zit er wel aan te komen, denk ik, maar er zit nog veel verstopt en achter betaalmuren."
00:30:19:64,00:30:29:97,Maurice Vanderfeesten,Even praktisch gezien: citeer jij archiefmateriaal of erfgoed materiaal op een bepaalde manier in je artikelen of output?
00:30:29:97,00:30:32:13,August den Hollander,Zeker. Hoe bedoel je dat?
00:30:32:53,00:30:35:93,Maurice Vanderfeesten,Dan moet er ergens een linkje kunnen ontstaan.
00:30:36:80,00:30:47:13,August den Hollander,"Natuurlijk. Er zijn bestaande conventies voor het beschrijven van bronnen en archiefmateriaal, zowel gedigitaliseerd als niet gedigitaliseerd."
00:30:51:77,00:31:11:97,David Oldenhof-Boks,"Wat zou jouw droom zijn voor 2030, als je in de digitale erfgoed wereld mag dromen? Wat zou je dan kunnen doen? Wat zou je met je studenten samen kunnen oppakken? Welke projecten zou je kunnen beginnen? Welk onderzoek zou je kunnen doen, wat misschien nu nog niet kan?"
00:31:19:78,00:32:46:05,August den Hollander,"Mijn studenten focussen vaak op één object en vanuit daar gaan ze allerlei vragen stellen. Wie heeft het gemaakt? Wat voor rol heeft dit gespeeld? Waar komt iets vandaan? Waar is het geweest? Dat gaat steeds verder. Wie had er nog meer mee te maken? Wie was een opdrachtgever? Dus die kring wordt steeds wijder. Het zou fijn zijn als je die vragen kan stellen in een omgeving waarin je ook antwoorden krijgt. De vraag is dan: hoe gaat informatie gelinkt zijn in de toekomst? Welke rol speelt iets als de geografische data daarvan? Veel objecten en personen zijn gelinkt aan geografische data. Als ik een punt op een kaart zet, zou ik willen weten wat daar in de zeventiende eeuw gebeurt qua architectuur en literatuur. Wat gebeurt er op die plek?"
00:32:46:05,00:33:20:93,August den Hollander,"Je wilt dat het proces van het linken van alle data en kennis die er zijn, op een slimmere manier gaat gebeuren dan nu en dat je daarvoor verschillende ingangsroutes kunt nemen. Dat kan de plek zijn of misschien een thema. Het kan een producent zijn. Dat zou mij en mijn studenten enorm helpen."
00:33:21:59,00:33:25:95,David Oldenhof-Boks,"Michiel, welke rol kan de bibliotheek spelen om dit te verwezenlijken?"
00:33:28:43,00:33:42:26,Michiel Cock,"Ervoor zorgen dat we het materiaal goed houden en het goed beschrijven, want wat ik hier hoor is een heel groot pleidooi voor een linked open data in allerlei vormen."
00:33:42:26,00:33:42:26,August den Hollander,"Absoluut, zo is het."
00:33:42:26,00:34:07:19,Michiel Cock,"Daar zijn we nog echt niet. We hebben systemen nodig waar dat goed in kan. We hebben ongelooflijk veel mankracht of misschien computerkracht nodig om die beschrijvingen te maken, want er gaat veel tijd in zitten om alleen al te kunnen zeggen: in dit archief zitten deze stukken."
00:34:12:77,00:34:22:19,Maurice Vanderfeesten,Denk je dat dit met kunstmatige intelligentie mogelijk zou kunnen worden gemaakt? Of denk je dat er een mens nodig is om dat goed te kunnen beschrijven?
00:34:24:02,00:34:58:82,Michiel Cock,"Ik denk dat we in de basis een eind komen met kunstmatige intelligentie. Je hebt nu een aantal tools die handschriftherkenning kunnen doen. Dat is al heel wat. Ik denk dat tien jaar geleden mensen gezegd hadden dat OCR kan, maar dat je voor een handschrift altijd iemand nodig hebt om dat te lezen en over te typen. Dat is echt niet meer zo. Wellicht kom je dan een eind met het eruit halen van de plaatsen of personen die erin zitten."
00:34:59:40,00:35:02:17,Maurice Vanderfeesten,Wat is je wens voor 2030?
00:35:03:72,00:35:42:73,Michiel Cock,"Dat we die basis kunnen bieden, zodat vervolgens onderzoekers, studenten en de rest van de wereld daar mooie dingen mee kan doen. Dat we de komende paar jaar een paar grote, goede stappen te zetten hebben om daarin mee te kunnen doen om de basis op orde te hebben. Wat ik ook belangrijk vind: we hebben het over object based teaching and learning in het onderwijs gehad. Vernieuwing zit in het analoge en in het digitale en we hebben op beide echt stappen te zetten."
00:35:45:78,00:36:33:43,August den Hollander,"De kern van wetenschap is dat je nieuwsgierig bent, en nieuwsgierigheid. Dat je iets wilt weten of onderzoeken en dat je wil weten hoe iets zit. Dat kan met de fysieke objecten, maar ook goed digitaal. Misschien is dat uiteindelijk een meer bevredigender manier, omdat zoveel data al beschikbaar is. Het alleen nog niet goed gelinkt. Als dat wel zo zou zijn, zou dat fantastisch kunnen zijn. Wat een Entdeckerfreude zou dat kunnen opleveren. Dat zou mooi zijn."
00:36:34:73,00:37:14:91,Maurice Vanderfeesten,"Ik vond het mooi wat jij zei over dat je op een bepaald punt bent in het verleden. Ik zit te denken aan die nieuwe brillen die Apple en zo nu hebben. Dan kun jij je in een andere wereld wanen. Op basis van je fysieke locatie kun je niet de fysieke wereld zien zoals die nu is hier op de Zuidas, maar bijvoorbeeld hoe het er 40 jaar geleden uitzag. Dat dit gebouw in een enorme polder stond met allemaal gras er omheen. Dat je dat mee kan maken, sluit aan op dat emotionele stuk, want het doet wel iets met je als je dat ziet."
00:37:16:41,00:37:42:94,August den Hollander,Precies. Dat je kunt rondlopen en de koeien hoort loeien. Dat je denkt: wie is eigenlijk die boer? Dat je hem bij wijze van spreken kunt zien rondlopen. Dat zou veel zou kunnen toevoegen.
00:37:47:10,00:38:10:88,Maurice Vanderfeesten,Het laatste stuk. De erfgoedsector heeft ook een verleden dat inspirerend kan zijn of juist belemmerend. Denkbeelden of werkwijzen kunnen verouderd zijn en vastgeroeste patronen kunnen veranderingen belemmeren. Wat houdt - volgens jullie - innovatie tegen in de erfgoedsector?
00:38:14:41,00:38:40:38,Michiel Cock,"Het is misschien banaal, maar bijzondere collecties zijn niet vanzelfsprekend. Dus er zijn momenten dat je al blij moet zijn dat je het reguliere werk op niveau kan houden, omdat er niet voldoende middelen of mensen zijn om te doen waar je over droomt. Dat is dan zo, maar dat staat je wel in de weg."
00:38:40:52,00:38:47:11,Maurice Vanderfeesten,"Er is hoop, want de interesse in erfgoed wordt steeds meer."
00:38:47:18,00:38:58:44,Michiel Cock,Die is supergroot en dat is sowieso een steun in de rug. Het is in ieder geval een steun in de rug voor het moreel.
00:39:00:81,00:39:17:80,David Oldenhof-Boks,"Zijn er bepaalde manieren waarop over erfgoed wordt nagedacht of gesproken die jij graag ziet veranderen, omdat je daar bepaalde patronen of oude denkbeelden vaak in terugziet die de droom die jij net hebt geschetst tegenhouden?"
